iter	Logloss
0	0.6917533512
1	0.6905900485
2	0.6890665674
3	0.6871946821
4	0.6854732256
5	0.683485103
6	0.6826665564
7	0.6812701847
8	0.6802822101
9	0.6788018677
10	0.6771846618
11	0.676195148
12	0.6752762331
13	0.6744548978
14	0.6734350117
15	0.6720734985
16	0.6706235724
17	0.6697399995
18	0.6683339407
19	0.6667383716
20	0.6652779259
21	0.6636952019
22	0.6616565307
23	0.6597433558
24	0.6583395445
25	0.6568593377
26	0.6556168399
27	0.6542200678
28	0.6532982959
29	0.6517526604
30	0.6509762057
31	0.6500749174
32	0.6488448444
33	0.648242274
34	0.6466096074
35	0.6458192857
36	0.6442280014
37	0.6429189163
38	0.6415924367
39	0.6398532404
40	0.6385725702
41	0.6374683589
42	0.6367448149
43	0.6359453038
44	0.6342886498
45	0.6330975394
46	0.6324489079
47	0.631177667
48	0.6297669498
49	0.628389493
50	0.6276792568
51	0.6267626453
52	0.6257732083
53	0.624766034
54	0.6237461132
55	0.6225092867
56	0.6220072544
57	0.621350333
58	0.6204456339
59	0.6192239108
60	0.6187810808
61	0.6179041998
62	0.6171618575
63	0.6161672591
64	0.6150637472
65	0.6143610632
66	0.6134779357
67	0.6129054672
68	0.6120117724
69	0.6112563307
70	0.6102508282
71	0.6096969737
72	0.6090326112
73	0.6078902596
74	0.6068413352
75	0.6060596809
76	0.6054262871
77	0.6045674762
78	0.6034948038
79	0.60261654
80	0.6015841677
81	0.6010923689
82	0.5999814987
83	0.5995114727
84	0.5988526715
85	0.5980890775
86	0.5973038421
87	0.596191937
88	0.5955941725
89	0.5944008205
90	0.5939106637
91	0.5931552146
92	0.5924951828
93	0.5917018378
94	0.5911679918
95	0.5905452809
96	0.589730737
97	0.5886440447
98	0.5881701755
99	0.587504808
100	0.5869764135
101	0.5861482251
102	0.5852629435
103	0.5848600635
104	0.5843885474
105	0.5832280947
106	0.5822691004
107	0.5816273045
108	0.5812910684
109	0.5807279258
110	0.5795430347
111	0.5792094031
112	0.5788103851
113	0.578528997
114	0.5782475552
115	0.5777772707
116	0.5771101124
117	0.5767140508
118	0.5760893098
119	0.5756636227
120	0.5750533529
121	0.5743761817
122	0.5741391047
123	0.573636733
124	0.5732423221
125	0.5723149078
126	0.5717183939
127	0.5707553799
128	0.5700590864
129	0.5696978818
130	0.5688283932
131	0.56815441
132	0.5677324905
133	0.5671774875
134	0.5663924637
135	0.5661761266
136	0.5659818831
137	0.5654731882
138	0.564870057
139	0.5643054309
140	0.5636946707
141	0.5630897243
142	0.5624042193
143	0.5616756739
144	0.5612485038
145	0.5606072381
146	0.5600850886
147	0.5595908552
148	0.5591745883
149	0.5584088661
150	0.5579737405
151	0.5577278371
152	0.5572120422
153	0.5567906248
154	0.5561862237
155	0.5558706434
156	0.5552225104
157	0.5547324607
158	0.5543713681
159	0.553974295
160	0.5534796638
161	0.5531759746
162	0.5523091121
163	0.5519101235
164	0.5512379417
165	0.5508769128
166	0.5503262328
167	0.5495662242
168	0.5490887975
169	0.5484440497
170	0.5481802002
171	0.5478439379
172	0.5472715369
173	0.5469611334
174	0.546719721
175	0.5464161683
176	0.5460148565
177	0.5456009632
178	0.5450811245
179	0.5445308085
180	0.5442250319
181	0.5438447182
182	0.5433852355
183	0.5426667867
184	0.5423109567
185	0.5417525996
186	0.541400519
187	0.5406559628
188	0.5403485927
189	0.5393714851
190	0.5390712873
191	0.5387973113
192	0.5384837326
193	0.5381202109
194	0.5377011986
195	0.537320239
196	0.5367051115
197	0.5361705398
198	0.535720958
199	0.5352556103
200	0.5347446473
201	0.5341710266
202	0.533965508
203	0.533499534
204	0.5330614641
205	0.532492296
206	0.5319763261
207	0.5315627262
208	0.5312201546
209	0.5307733369
210	0.5303499054
211	0.5298813911
212	0.5295345761
213	0.5290980233
214	0.5288527959
215	0.5285155463
216	0.528335222
217	0.5278792156
218	0.5276600829
219	0.5273018043
220	0.5266835348
221	0.5262789238
222	0.5257777076
223	0.5253733159
224	0.5250624557
225	0.5245785751
226	0.5241244371
227	0.5236623342
228	0.5232923377
229	0.5227804044
230	0.5221923956
231	0.5217157014
232	0.5213064094
233	0.5207995459
234	0.5202982722
235	0.5201532519
236	0.5198443751
237	0.5191620871
238	0.5187056008
239	0.5185202799
240	0.5181321213
241	0.5178159748
242	0.5176262456
243	0.5172527028
244	0.5168515887
245	0.516356769
246	0.5160361142
247	0.5157204021
248	0.5151571577
249	0.514819352
250	0.5145078731
251	0.5141190219
252	0.5139077404
253	0.5135515767
254	0.5130741906
255	0.5128264633
256	0.5124490816
257	0.5115434936
258	0.5112031687
259	0.5108287382
260	0.5105976009
261	0.5102224498
262	0.5094789866
263	0.5091979587
264	0.5088699496
265	0.5085596931
266	0.5082897408
267	0.5079570759
268	0.5076578709
269	0.5072516454
270	0.5069228839
271	0.5065954058
272	0.5061035396
273	0.5057715651
274	0.5054906876
275	0.5052157634
276	0.5047575139
277	0.5041487237
278	0.5037520273
279	0.5033743262
280	0.5030539661
281	0.5026830789
282	0.5023453335
283	0.5020493978
284	0.5016520535
285	0.5014369726
286	0.5012404024
287	0.5008282099
288	0.5006153827
289	0.500282612
290	0.4998918546
291	0.4994162453
292	0.4990689691
293	0.4988049876
294	0.4985129812
295	0.4981081471
296	0.4978829908
297	0.497643692
298	0.4972856309
299	0.4969594154
300	0.4967117322
301	0.496306213
302	0.495954628
303	0.4955834679
304	0.495106848
305	0.4949652908
306	0.4946703138
307	0.4944150417
308	0.4940435629
309	0.493777877
310	0.4935940261
311	0.4933135565
312	0.4930763884
313	0.4928598193
314	0.4926193284
315	0.4924829239
316	0.4922197949
317	0.4920442625
318	0.4916709603
319	0.4913319572
320	0.4911057463
321	0.4907383254
322	0.4905026181
323	0.4900890736
324	0.4899490313
325	0.4894259803
326	0.4892705832
327	0.489042606
328	0.4886173374
329	0.4882435433
330	0.487815015
331	0.4876439963
332	0.4870581793
333	0.4866367229
334	0.4864684101
335	0.4861992366
336	0.4858529102
337	0.485593946
338	0.4852244507
339	0.4849899154
340	0.4847474921
341	0.4843564175
342	0.4840281838
343	0.4838269104
344	0.4834766677
345	0.4832987614
346	0.4830780088
347	0.4828495941
348	0.4824133799
349	0.4821675025
350	0.4819812201
351	0.4817371286
352	0.4814928838
353	0.4812567557
354	0.4809868167
355	0.4806551445
356	0.4803162203
357	0.4800262696
358	0.4798726077
359	0.4796271001
360	0.479127137
361	0.4788975943
362	0.4786529349
363	0.4783532705
364	0.4778374202
365	0.4775971906
366	0.477373061
367	0.4772408223
368	0.4765575423
369	0.4762135377
370	0.4759197503
371	0.4755597141
372	0.4753845276
373	0.4752517003
374	0.4750860728
375	0.4748110855
376	0.4744845321
377	0.4743564456
378	0.4740804456
