iter	Passed	Remaining
0	2	2263
1	5	2102
2	7	2007
3	9	1985
4	12	2012
5	15	2139
6	17	2100
7	20	2068
8	22	2050
9	24	1996
10	26	1947
11	27	1904
12	29	1872
13	31	1843
14	34	1896
15	36	1869
16	38	1837
17	40	1820
18	41	1789
19	43	1780
20	45	1754
21	46	1727
22	48	1705
23	49	1684
24	51	1667
25	52	1643
26	54	1625
27	55	1602
28	56	1582
29	58	1572
30	60	1558
31	61	1540
32	62	1528
33	64	1513
34	65	1498
35	66	1482
36	68	1469
37	69	1455
38	70	1439
39	71	1424
40	72	1412
41	74	1400
42	75	1388
43	76	1374
44	77	1363
45	78	1349
46	79	1337
47	80	1326
48	81	1314
49	83	1306
50	84	1296
51	85	1287
52	86	1277
53	87	1270
54	88	1261
55	90	1252
56	91	1245
57	92	1238
58	93	1230
59	94	1221
60	95	1213
61	97	1216
62	98	1209
63	99	1203
64	101	1203
65	102	1197
66	103	1188
67	104	1181
68	105	1175
69	107	1169
70	108	1163
71	109	1158
72	111	1160
73	112	1153
74	113	1147
75	114	1143
76	115	1137
77	116	1131
78	117	1125
79	118	1120
80	119	1114
81	120	1110
82	121	1104
83	123	1101
84	124	1095
85	125	1091
86	126	1086
87	127	1081
88	129	1082
89	130	1077
90	131	1073
91	132	1068
92	133	1064
93	134	1061
94	135	1058
95	136	1053
96	138	1051
97	139	1047
98	140	1044
99	141	1041
100	142	1037
101	143	1034
102	145	1033
103	146	1029
104	147	1025
105	148	1022
106	149	1018
107	150	1015
108	151	1012
109	152	1008
110	154	1005
111	155	1005
112	157	1003
113	158	1000
114	159	997
115	160	994
116	162	994
117	163	993
118	164	990
119	165	987
120	166	984
121	168	982
122	169	979
123	170	976
124	171	973
125	172	971
126	173	968
127	174	965
128	175	962
129	177	959
130	178	956
131	179	954
132	180	951
133	181	949
134	182	946
135	183	943
136	184	939
137	185	937
138	186	934
139	187	931
140	188	930
141	190	928
142	191	925
143	192	923
144	193	921
145	194	919
146	195	916
147	196	913
148	198	911
149	199	911
150	200	909
151	202	908
152	203	906
153	204	904
154	205	901
155	206	899
156	207	896
157	208	894
158	210	893
159	211	891
160	212	889
161	213	887
162	214	885
163	215	883
164	216	880
165	217	878
166	219	876
167	220	874
168	221	871
169	222	869
170	223	867
171	224	865
172	225	862
173	226	860
174	227	859
175	229	860
176	230	858
177	232	857
178	233	856
179	234	853
180	235	852
181	237	850
182	238	848
183	239	847
184	240	845
185	241	843
186	242	841
187	244	840
188	245	838
189	246	836
190	247	834
191	248	832
192	249	830
193	250	828
194	252	827
195	253	827
196	254	825
197	256	824
198	257	821
199	258	820
200	259	819
201	260	816
202	261	814
203	262	812
204	264	811
205	265	809
206	266	807
207	267	806
208	268	804
209	269	802
210	270	800
211	271	799
212	273	797
213	274	795
214	275	793
215	276	791
216	277	790
217	278	787
218	279	786
219	281	787
220	282	786
221	284	784
222	285	784
223	286	782
224	287	780
225	289	780
226	290	778
227	291	776
228	292	774
229	293	772
230	295	772
231	296	770
232	297	768
233	298	767
